Name,Date,PDF Url,Description
"Marvin L. Mitchell d/b/a Mitchell Retirement Group, LLC",08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Mitchell%20Final%20Order_Redacted.pdf,"The Commission issued an order approving a Consent Agreement and Order entered into by Marvin L. Mitchell d/b/a Mitchell Retirement Group, LLC, of Creve Coeur, Missouri. Respondents will pay a fine for violations of the Pennsylvania Securities Act of 1972."
Gregory A. Koch,08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Gregory%20Koch%20CAO_Redacted.pdf,Gregory A. Koch has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972.
"Cerebrum Financial Services, LLC and Christopher Antoine Glover",08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20Cerebrum%20Financial%20Services%20Commission%20Order%20Removing_Redacted.pdf,"The Commission has issued an order removing suspensions and bars regarding Cerebrum Financial Services, LLC and Christopher Antoine Glover."
American Pacific Mortgage Corporation,08/23/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/082321%20American%20Pacific%20CAO_Redacted.pdf,"American Pacific Mortgage Corporation, of Roseville, CA has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Nations Reliable Lending, LLC",08/16/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/081621%20Nations%20Reliable%20CAO_Redacted.pdf," Nations Reliable Lending, LLC, of Houston, TX has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"FBC Mortgage, LLC",08/16/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/081621%20FBC%20CAO%20Redacted.pdf,"FBC Mortgage, LLC, of Orlando, FL has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Churchill Mortgage Corporation,08/16/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/081621%20Churchill%20CAO_Redacted.pdf,"Churchill Mortgage Corporation, of Brentwood, TN has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Michigan Mutual, Inc.",08/02/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/080221%20Michigan%20Mutual%20CAO_Redacted.pdf,"Michigan Mutual, Inc., of Port Huron, MI has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Ascension Investment Advisors,08/02/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/080221%20Ascension%20Investment%20Advisors%20CAO_Redacted.pdf,"Ascension Investment Advisors, of Philadelphia, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"4Rivers Wealth Management, LLC",08/02/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/080221%204RiversCAO_Redacted.pdf," 4Rivers Wealth Management, LLC, of Pittsburgh, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
Robert Pinzhoffer,07/26/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/072621%20Robert%20Pinzhoffer%20Suspension%20CD_Redacted.pdf,"On July 26, 2021, DoBS issued an Order to Cease and Desist naming Robert Pinzhoffer for violations of the Mortgage Licensing Act."
"Tara Mortgage Services, LLC",07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Tara%20Mortgage%20Services%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Tara Mortgage Services, LLC for violations of the Mortgage Licensing Act."
"Principle Home Mortgage, LLC",07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Principle%20Home%20Mortgage%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Principle Home Mortgage, LLC for violations of the Mortgage Licensing Act."
"Northpoint Lending, LLC",07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Northpoint%20Lending%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Northpoint Lending, LLC for violations of the Mortgage Licensing Act."
Eric Chesen,07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Eric%20Chesen%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Eric Chesen for violations of the Mortgage Licensing Act."
Equity Financing Corporation,07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Equity%20Financing%20Corp%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Equity Financing Corporation for violations of the Mortgage Licensing Act."
Delta Capital Group,07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Delta%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Delta Capital Group for violations of the Mortgage Licensing Act."
"CRW Mortgage, LLC",07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20CRW%20Mortgage%20Order_Redacted%202.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming CRW Mortgage, LLC for violations of the Mortgage Licensing Act."
"Assured Financial Services, Corporation",07/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071921%20Assured%20Financial%20Order_Redacted.pdf,"On July 19, 2021, DoBS issued an Order to Pay Fine naming Assured Financial Services, Corporation for violations of the Mortgage Licensing Act."
"Legacy Investment Advisors, LLC",07/14/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071421%20Legacy%20CAO_Redacted.pdf,"Legacy Investment Advisors, LLC, of Mt. Laurel, NJ has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Wyndham Capital Mortgage, Inc.",07/12/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071221%20Wyndham%20CAO_Redacted.pdf,"Wyndham Capital Mortgage, Inc., of Charlotte, NC has entered into a Consent Agreement and Order and will take corrective action and pay a fine for violations of the Mortgage Licensing Act."
"Wrenne Financial Planning, LLC",07/12/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/071221%20Wrenne%20Financial%20CAO_Redacted.pdf,"Wrenne Financial Planning, LLC of Lexington, KY has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Superior Investment Performance, Inc., d/b/a Everyield Investments and Scott E. Anderson",07/06/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/070621%20Superior%20Investment%20Performance%20CAO_Redacted.pdf,"Superior Investment Performance, Inc., d/b/a Everyield Investments and Scott E. Anderson have entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Divi-Vest Advisors, Inc.",07/06/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/070621%20Divi%20Vest%20CAO_Redacted.pdf,"Divi-Vest Advisors, Inc., of Rosemont, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
Luminary Capital LLC and Matthew Christopher Fitzgerald,06/21/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/062121%20Luminary%20Capital%20CAO_Redacted.pdf,Luminary Capital LLC and Matthew Christopher Fitzgerald have entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972.
Kuranda Financial Mortgage Inc.,06/14/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/061421%20Kuranda%20Financial%20CAO_Redacted.pdf,"Kuranda Financial Mortgage Inc. of Wayne, PA has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Goldata Computer Services, Inc. d/b/a Goldata Financial, Elliot Mitchell Goldberg, 1931 Funding, LLC, 567 Funding, LLC, 442 Funding, LLC, 803 Funding, LLC, and Legs 1, LLC",06/14/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/061421%20Goldata%20OSC_Redacted.pdf,"On June 14, 2021, DoBS issued an Order to Show Cause naming Goldata Computer Services, Inc. d/b/a Goldata Financial, Elliot Mitchell Goldberg, 1931 Funding, LLC, 567 Funding, LLC, 442 Funding, LLC, 803 Funding, LLC, and Legs 1, LLC for violations of the Pennsylvania Securities Act of 1972."
"Aptus Financial, LLC",06/07/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/060721%20Aptus%20CAO_Redacted.pdf,"Aptus Financial, LLC of Little Rock, AK, has entered into a Consent Agreement and Order and will pay a fine for violations of the Pennsylvania Securities Act of 1972."
"Farah W. Issa, an individual, and National Lending Unlimited LLC",05/24/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/052421%20Farah%20Issa%20and%20National%20Lending%20Final%20Order%20Redacted.pdf,"The Commission issued an order approving a Consent Agreement and Order entered into by Farah W. Issa, an individual, and National Lending Unlimited LLC, of Cleveland, OH. Respondents will pay a fine and take corrective action for violations of the Mortgage Licensing Act."
"A Impuls Auto, Inc.",05/24/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/052421%20A%20Impuls%20Final%20Order%20_Redacted.pdf,"The Commission has ordered that A Impuls Auto, Inc. license be suspended, ordered to pay a fine, and refund consumers for violations of the Consumer Credit Code."
"Nationwide Mortgage Bankers, Inc.",05/17/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/051721%20Nationwide%20Mortgage%20Bankes%20CAO_Redacted.pdf,"Nationwide Mortgage Bankers, Inc. has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Teri Loan Holdings LLC,05/10/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/051021%20Teri%20Loan%20Order_Redacted.pdf,"On May 10, 2021, DoBS issued an Order to Pay Fine naming Teri Loan Holdings LLC for violations of the Consumer Discount Company Act."
Network Capital Funding Corporation,05/03/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/050321%20Network%20Capital%20Funding%20Corporation%20CAO_Redacted%20(003).pdf,"Network Capital Funding Corporation of Irvine, CA, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
Allied Servicing Corporation,05/03/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/050321%20Allied%20Servicing%20Corporation%20CAO_Redacted.pdf,"Allied Servicing Corporation of Spokane Valley, WA, has entered into a Consent Agreement and Order and will pay a fine and take corrective action for violations of the Mortgage Licensing Act."
Financial Services for America,04/26/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/042621%20Financial%20Services%20CD%20_Redacted%20(002).pdf,"On April 26, 2021, DoBS issued an Order to Cease and Desist for Financial Services for America for violations of the Mortgage Licensing Act."
"Aspen Properties Group, LLC",04/26/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/042621%20Aspen%20Properties%20Group%20CAO_Redacted.pdf,"Aspen Properties Group, LLC of Overland Park, KS, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act. 4/26/21Robert Pinzhoffer On April 26, 2021, DoBS discontinued the March 15, 2021 Order to Pay fine naming Robert Pinzhoffer for violations of the Mortgage Licensing Act.4/26/21MDP Integrity Services, LLC On April 26, 2021, DoBS issued an Order to Vacate Suspension Order for MDP Integrity Services, LLC, vacating the February 22, 2021 suspension order."
Robert Pinzhoffer,04/26/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/042621%20Robert%20Pinzhoffer%20Discontinuance_Redacted.pdf,"Aspen Properties Group, LLC of Overland Park, KS, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act. 4/26/21 On April 26, 2021, DoBS discontinued the March 15, 2021 Order to Pay fine naming Robert Pinzhoffer for violations of the Mortgage Licensing Act.4/26/21MDP Integrity Services, LLC On April 26, 2021, DoBS issued an Order to Vacate Suspension Order for MDP Integrity Services, LLC, vacating the February 22, 2021 suspension order."
"MDP Integrity Services, LLC",04/26/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/042621%20MDP%20Integrity%20Services%20Order%20to%20Vacate_Redacted.pdf,"Aspen Properties Group, LLC of Overland Park, KS, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act.  On April 26, 2021, DoBS discontinued the March 15, 2021 Order to Pay fine naming Robert Pinzhoffer for violations of the Mortgage Licensing Act.4/26/21 On April 26, 2021, DoBS issued an Order to Vacate Suspension Order for MDP Integrity Services, LLC, vacating the February 22, 2021 suspension order."
"All Credit Considered Mortgage, Inc.",04/19/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/041921%20All%20Credit%20Considered%20Mort%20CAO%20%20(Docketed)_Redacted.pdf,"All Credit Considered Mortgage, Inc., of Rockville, MD, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act."
"Freedman Capital Group, LLC",04/05/2021,https://www.dobs.pa.gov/Documents/Enforcement%20Orders/2021/040521%20Freedman%20Capital%20Group%20CAO_Redacted.pdf,"Freedman Capital Group, LLC, has entered into a Consent Agreement and Order and will pay a fine for violations of the Mortgage Licensing Act. 4/5/21Red Carpet Auto Sales Limited Liability Company Red Carpet Auto Sales Limited Liability Company, of Connellsville, PA, has entered into a Consent Agreement and Order and will pay a fine for violations of the Consumer Credit Code."
